Log GDP per capita,Healthy life expectancy at birth,Freedom to make life choices,Social support,year
7.35,50.5,0.718,0.451,2008
7.509,50.8,0.679,0.552,2009
7.614,51.1,0.6,0.539,2010
7.581,51.4,0.496,0.521,2011
7.661,51.7,0.531,0.521,2012
7.68,52.0,0.578,0.484,2013
7.671,52.3,0.509,0.526,2014
7.654,52.6,0.389,0.529,2015
7.65,52.925,0.523,0.559,2016
7.648,53.25,0.427,0.491,2017
7.631,53.575,0.374,0.508,2018
7.64,53.9,0.394,0.42,2019
7.324,54.55,0.394,0.454,2021
7.61175,54.875,0.368,0.228,2022
9.122,66.76,0.529,0.821,2007
9.241,67.32,0.525,0.833,2009
9.283,67.6,0.569,0.733,2010
9.311,67.88,0.487,0.759,2011
9.326,68.16,0.602,0.785,2012
9.338,68.44,0.632,0.759,2013
9.358,68.72,0.735,0.626,2014
9.383,69.0,0.704,0.639,2015
9.417,69.025,0.73,0.638,2016
9.455,69.05,0.75,0.638,2017
9.497,69.075,0.824,0.684,2018
9.522,69.1,0.777,0.686,2019
9.492,69.125,0.754,0.71,2020
9.583,69.15,0.827,0.702,2021
9.626,69.175,0.802,0.724,2022
9.306,65.5,0.593,0.8405,2010
9.316,65.6,0.53,0.81,2011
9.33,65.7,0.587,0.839,2012
9.355,65.9,0.85725,0.818,2014
9.383,66.1,0.542,0.749,2016
9.377,66.2,0.437,0.807,2017
9.37,66.3,0.583,0.799,2018
9.361,66.4,0.385,0.803,2019
9.291,66.5,0.574,0.868,2020
9.309,66.6,0.558,0.841,2021
8.944,51.22,0.584,0.723,2011
8.989,51.84,0.456,0.753,2012
9.0,52.46,0.41,0.722,2013
9.01,53.08,0.375,0.755,2014
9.937,65.82,0.733,0.938,2006
10.013,65.94,0.653,0.862,2007
10.043,66.06,0.678,0.892,2008
9.972,66.18,0.637,0.919,2009
10.066,66.3,0.73,0.927,2010
10.112,66.42,0.816,0.889,2011
10.091,66.54,0.747,0.902,2012
10.103,66.66,0.737,0.91,2013
10.067,66.78,0.745,0.918,2014
10.083,66.9,0.881,0.926,2015
10.051,66.95,0.848,0.883,2016
10.069,67.0,0.832,0.907,2017
10.032,67.05,0.846,0.9,2018
